  400  1.0000E-03
   i   x             den           ener          pres          vel           cs
  272  1.357500E+00  4.060868E+00  3.762025E+05  6.110835E+05  7.339123E+02  4.589917E+02
  273  1.362500E+00  4.155319E+00  3.723401E+05  6.188767E+05  7.378392E+02  4.566294E+02
  274  1.367500E+00  4.252718E+00  3.685179E+05  6.268812E+05  7.417824E+02  4.542797E+02
  275  1.372500E+00  4.353183E+00  3.647352E+05  6.351037E+05  7.457417E+02  4.519422E+02
  276  1.377500E+00  4.456835E+00  3.609911E+05  6.435512E+05  7.497171E+02  4.496165E+02
  277  1.382500E+00  4.563804E+00  3.572847E+05  6.522311E+05  7.537085E+02  4.473024E+02
  278  1.387500E+00  4.674224E+00  3.536153E+05  6.611509E+05  7.577158E+02  4.449995E+02
  279  1.392500E+00  4.788235E+00  3.499821E+05  6.703187E+05  7.617388E+02  4.427076E+02
  280  1.397500E+00  4.905986E+00  3.463842E+05  6.797425E+05  7.657776E+02  4.404261E+02
  281  1.402500E+00  5.027631E+00  3.428210E+05  6.894311E+05  7.698319E+02  4.381550E+02
  282  1.407500E+00  5.153334E+00  3.392916E+05  6.993933E+05  7.739016E+02  4.358937E+02
  283  1.412500E+00  5.283265E+00  3.357954E+05  7.096383E+05  7.779867E+02  4.336420E+02
  284  1.417500E+00  5.417602E+00  3.323315E+05  7.201760E+05  7.820869E+02  4.313996E+02
  285  1.422500E+00  5.556536E+00  3.288993E+05  7.310163E+05  7.862022E+02  4.291662E+02
  286  1.427500E+00  5.700262E+00  3.254981E+05  7.421698E+05  7.903325E+02  4.269414E+02
  287  1.432500E+00  5.848990E+00  3.221271E+05  7.536474E+05  7.944775E+02  4.247248E+02
  288  1.437500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  289  1.442500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  290  1.447500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  291  1.452500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  292  1.457500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  293  1.462500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  294  1.467500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  295  1.472500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  296  1.477500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  297  1.482500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  298  1.487500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  299  1.492500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  300  1.497500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  301  1.502500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  302  1.507500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  303  1.512500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  304  1.517500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  305  1.522500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  306  1.527500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  307  1.532500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  308  1.537500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  309  1.542500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  310  1.547500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  311  1.552500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  312  1.557500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  313  1.562500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  314  1.567500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  315  1.572500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  316  1.577500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  317  1.582500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  318  1.587500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  319  1.592500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  320  1.597500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  321  1.602500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  322  1.607500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  323  1.612500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  324  1.617500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  325  1.622500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  326  1.627500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  327  1.632500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  328  1.637500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  329  1.642500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  330  1.647500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  331  1.652500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  332  1.657500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  333  1.662500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  334  1.667500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  335  1.672500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  336  1.677500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  337  1.682500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  338  1.687500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  339  1.692500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  340  1.697500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  341  1.702500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  342  1.707500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  343  1.712500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  344  1.717500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  345  1.722500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  346  1.727500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  347  1.732500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  348  1.737500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  349  1.742500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  350  1.747500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  351  1.752500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  352  1.757500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  353  1.762500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  354  1.767500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  355  1.772500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  356  1.777500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  357  1.782500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  358  1.787500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  359  1.792500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  360  1.797500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  361  1.802500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  362  1.807500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  363  1.812500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  364  1.817500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  365  1.822500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  366  1.827500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  367  1.832500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  368  1.837500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  369  1.842500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  370  1.847500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  371  1.852500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  372  1.857500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  373  1.862500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  374  1.867500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  375  1.872500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  376  1.877500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  377  1.882500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  378  1.887500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  379  1.892500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  380  1.897500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  381  1.902500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  382  1.907500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  383  1.912500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  384  1.917500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  385  1.922500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  386  1.927500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  387  1.932500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  388  1.937500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  389  1.942500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  390  1.947500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  391  1.952500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  392  1.957500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  393  1.962500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  394  1.967500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  395  1.972500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  396  1.977500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  397  1.982500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  398  1.987500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  399  1.992500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
  400  1.997500E+00  1.000000E+00  1.000000E-12  4.000000E-13  0.000000E+00  7.483315E-07
