  400  1.0000E-03
   i   x             den           ener          pres          vel           cs
   63  3.125000E-01  4.837672E-02  1.543696E+07  2.987158E+05  1.488400E+02  2.940186E+03
   64  3.175000E-01  5.033847E-02  1.483632E+07  2.987352E+05  1.512237E+02  2.882419E+03
   65  3.225000E-01  5.234750E-02  1.426790E+07  2.987556E+05  1.536077E+02  2.826663E+03
   66  3.275000E-01  5.440422E-02  1.372951E+07  2.987773E+05  1.559918E+02  2.772819E+03
   67  3.325000E-01  5.650904E-02  1.321913E+07  2.988001E+05  1.583762E+02  2.720793E+03
   68  3.375000E-01  5.866237E-02  1.273492E+07  2.988242E+05  1.607608E+02  2.670497E+03
   69  3.425000E-01  6.086462E-02  1.227518E+07  2.988496E+05  1.631457E+02  2.621850E+03
   70  3.475000E-01  6.311619E-02  1.183833E+07  2.988762E+05  1.655309E+02  2.574775E+03
   71  3.525000E-01  6.541750E-02  1.142295E+07  2.989043E+05  1.679163E+02  2.529200E+03
   72  3.575000E-01  6.776895E-02  1.102768E+07  2.989338E+05  1.703020E+02  2.485056E+03
   73  3.625000E-01  7.017097E-02  1.065130E+07  2.989648E+05  1.726880E+02  2.442279E+03
   74  3.675000E-01  7.262395E-02  1.029266E+07  2.989973E+05  1.750744E+02  2.400810E+03
   75  3.725000E-01  7.512832E-02  9.950689E+06  2.990314E+05  1.774611E+02  2.360590E+03
   76  3.775000E-01  7.768450E-02  9.624417E+06  2.990672E+05  1.798481E+02  2.321567E+03
   77  3.825000E-01  8.029289E-02  9.312925E+06  2.991047E+05  1.822355E+02  2.283690E+03
   78  3.875000E-01  8.295392E-02  9.015363E+06  2.991439E+05  1.846233E+02  2.246910E+03
   79  3.925000E-01  8.566802E-02  8.730940E+06  2.991849E+05  1.870116E+02  2.211182E+03
   80  3.975000E-01  8.843560E-02  8.458919E+06  2.992279E+05  1.894002E+02  2.176464E+03
   81  4.025000E-01  9.125710E-02  8.198615E+06  2.992727E+05  1.917893E+02  2.142714E+03
   82  4.075000E-01  9.413295E-02  7.949384E+06  2.993196E+05  1.941789E+02  2.109895E+03
   83  4.125000E-01  9.706358E-02  7.710630E+06  2.993685E+05  1.965689E+02  2.077968E+03
   84  4.175000E-01  1.000494E-01  7.481793E+06  2.994196E+05  1.989595E+02  2.046901E+03
   85  4.225000E-01  1.030909E-01  7.262348E+06  2.994729E+05  2.013506E+02  2.016659E+03
   86  4.275000E-01  1.061885E-01  7.051807E+06  2.995284E+05  2.037423E+02  1.987212E+03
   87  4.325000E-01  1.093427E-01  6.849709E+06  2.995863E+05  2.061345E+02  1.958529E+03
   88  4.375000E-01  1.125539E-01  6.655625E+06  2.996466E+05  2.085273E+02  1.930583E+03
